"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2021","15.8250","16.5800","16.5800","15.6800","","-4.55%"
"12/22/2021","16.5800","17.5375","17.5375","15.6900","","-5.46%"
"12/21/2021","17.5375","18.9650","18.9650","16.6275","","-7.53%"
"12/20/2021","18.9650","16.3375","20.1350","16.3375","","16.08%"
"12/17/2021","16.3375","15.8950","16.9075","13.7600","","2.78%"
"12/16/2021","15.8950","17.2175","17.2175","15.2625","","-7.68%"
"12/15/2021","17.2175","16.9525","17.7125","15.7675","","1.56%"
"12/14/2021","16.9525","16.5700","17.3300","13.9375","","2.31%"
"12/13/2021","16.5700","16.0600","16.8600","14.6750","","3.18%"
"12/10/2021","16.0600","16.6025","16.9325","15.2100","","-3.27%"
"12/09/2021","16.6025","17.2650","17.4350","15.5400","","-3.84%"
"12/08/2021","17.2650","18.4600","18.4600","16.5650","","-6.47%"
"12/07/2021","18.4600","20.0775","20.0775","18.2425","","-8.06%"
"12/06/2021","20.0775","18.4550","20.4775","18.3000","","8.79%"
"12/03/2021","18.4550","18.0875","18.8325","17.2100","","2.03%"
"12/02/2021","18.0875","19.4475","22.9650","18.0025","","-6.99%"
"12/01/2021","19.4475","21.1675","21.1675","18.9350","","-8.13%"
"11/30/2021","21.1675","20.8300","21.9650","18.8075","","1.62%"
"11/29/2021","20.8300","20.8025","23.8200","18.8925","","0.13%"
"11/26/2021","20.8025","16.6625","21.3925","16.0500","","24.85%"
"11/25/2021","16.6625","17.0950","18.0725","16.0025","","-2.53%"
"11/24/2021","17.0950","18.0150","18.0150","15.5775","","-5.11%"
"11/23/2021","18.0150","17.5200","20.0250","16.7925","","2.83%"
"11/22/2021","17.5200","14.8575","18.0825","13.5625","","17.92%"
"11/18/2021","14.8575","14.9800","16.1475","12.0800","","-0.82%"
"11/17/2021","14.9800","15.1950","15.4125","13.9150","","-1.41%"
"11/16/2021","15.1950","15.4650","15.6825","13.5800","","-1.75%"
"11/15/2021","15.4650","15.2175","15.8425","13.4275","","1.63%"
"11/12/2021","15.2175","16.3525","16.3525","14.6450","","-6.94%"
"11/11/2021","16.3525","16.3050","17.2850","14.6450","","0.29%"
"11/10/2021","16.3050","16.0025","16.6850","15.1400","","1.89%"
"11/09/2021","16.0025","16.3400","16.6150","14.6425","","-2.07%"
